,names,link,research_field,subfaculty,faculty,link_CU,research_interest
380,Niall Smyth,https://scholar.google.co.uk/citations?hl=en&user=1o0c7KMAAAAJ,"Fatigue, Fracture Mechanics, Residual Stress",,,https://pureportal.coventry.ac.uk/en/persons/niall-smyth,Research Interests: Residual stress; Advanced materials; Finite element analysis; Fatigue and fracture analysis; Structural integrity and failure
381,Ariel Ruiz-Garcia,https://scholar.google.co.uk/citations?hl=en&user=nlvkz-EAAAAJ,"Deep Learning, Reinforcement Learning, Neural Networks, Representation Learning",,,,
382,Caroline Wilson,https://scholar.google.co.uk/citations?hl=en&user=6eA22bMAAAAJ,"communication, behaviour, evaluation, higher education, gender",,,https://pureportal.coventry.ac.uk/en/persons/caroline-wilson,None: None
383,Pablo A. Domene,https://scholar.google.co.uk/citations?hl=en&user=q7TWlJkAAAAJ,,,,,
384,Umut Turksen,https://scholar.google.co.uk/citations?hl=en&user=NSP_sx0AAAAJ,"Financial Crime, Energy, International Trade",Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/umut-turksen,"Biography: Prof Dr Umut Turksen is a student centered and a business facing legal academic. He is interested in the practical application of the law in innovation, societal security and development. He has provided consultancy and training to prestigious international businesses and government projects. This includes technical assistance programmes to multinational corporations (e.g. France Telecom, Orange, Wilmington Plc) and international organisations (e.g. Commonwealth Environmental Investment Forum), professional development training to lawyers and to the EU funded projects (e.g. CEPOL, Secucities, MUTRAP III). In addition to his expertise in EU energy security & law, Prof Turksen has extensive knowledge of counter-terrorism laws in Australia, the EU, the UK and the US as well as publications in international trade, financial crime, arbitration and investment. His current research involves four different topics: 1) Digital assets and their inheritance; 2) Solidarity in EU's external energy trade and security;  3) Whistle blower protection and tax crimes in the EU; and 4) Racial profiling in the context of counter terrorist financing. He is currently leading a EU H2020 project, PROTAX, which tackles tax crimes in the EU. He welcomes PhD proposals in these areas in particular."
385,Rosa K. W. Kwok,https://scholar.google.co.uk/citations?hl=en&user=lRVOkygAAAAJ,"Children with language delay, Working Memory, Executive Function, Learning and Memory Cognition Disorders, Cognitive Development",,,,
386,Kulbir Birak,https://scholar.google.co.uk/citations?hl=en&user=nAVHfbUAAAAJ,"Bio-Psychology, Psychopharmacology, Healthy Ageing, Virtual Reality, Experimental Psychology",,,,
387,Andrew Jones,https://scholar.google.co.uk/citations?hl=en&user=ElQmLYsAAAAJ,Economic Development,School of Law,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/andrew-jones-2,"Research Interests: Andrew's primary research interests are within the area of public international law, with a focus on international human rights law, international humanitarian law and the law on the use of force. Specifically, Andrew primarly writes on use of force incidents, examining the application of the law of jus ad bellum and considering it ongoing ability to regulate conflict."
388,Andrew Jones,https://scholar.google.co.uk/citations?hl=en&user=ElQmLYsAAAAJ,Economic Development,School of Law,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/andrew-jones,"Biography: 
Andrew holds a BA in Business Management and an MA in International Business. His PhD thesis was completed at the University of Wolverhampton in 2014, and investigated the motives and consequences of Foreign Direct Investment entering the English Premier League. After completion of his PhD, Andrew worked as part of a research team evaluating the Knowledge Exchange and Enterprise Network (KEEN) programme funded by the ERDF and managed by the University of Wolverhampton.
The research focused on evaluating the process of knowledge transfer between the graduate/University and the project company. Andrew also has a range of teaching experience in areas such as the Research Methods, Quantitative Analysis, Dynamics of Multinational Companies, and the Global Business Environment.
Andrew has also contributed to local media coverage of the financial performance of Wolverhampton Wanderers. This has included appearing on BBC Midlands Today, BBC Radio WM and Free Radio. He has also contributed to articles published in the Express and Star.
"
389,Helen Breadmore,https://scholar.google.co.uk/citations?hl=en&user=z6ge16IAAAAJ,"Literacy, morphology, phonology, reading, spelling",,,https://pureportal.coventry.ac.uk/en/persons/helen-breadmore,"Research Interests: My research focuses on educational attainment and, in particular, language and literacy development. By combining experimental, population, longitudinal and intervention approaches, my research has high scientific rigor with real world implications.
 
In my experimental work I examine the nature of linguistic and cognitive processes during literacy tasks using a range of methodologies, such as studying the time-course of spelling (spatio-dynamics of handwriting) and reading (eye-movement recording). Through population and longitudinal research, I consider the impact of different strengths, weaknesses and environmental influences on attainment more broadly. My research also includes examining the effectiveness of literacy interventions through large scale randomised controlled trials, and working closely with policy makers and educators to apply research findings to the classroom. For example, I led the Education Endowment Foundation Evidence Review on Literacy Development (2019), and am currently leading a Review of Measures of Attainment in Literacy, Mathematics and Science."
390,Ruth Adriana Carvajal-Ortiz,https://scholar.google.co.uk/citations?hl=en&user=eCJ1GjoAAAAJ,"Electrochemistry, Molten Salts, Lithiun-Ion Batteries recycling, Corrosion of metals at high temperatures, corrosion in supercri",,,,
391,Gill Cressey,https://scholar.google.co.uk/citations?hl=en&user=hlu3_oAAAAAJ,"Migration, Youth, Education, Community Development","School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/gill-cressey,None: None
392,Yanguo Jing,https://scholar.google.co.uk/citations?hl=en&user=jJe9LYkAAAAJ,"AI, Business data analytics, Enterprise, student employability",,,,
393,Daniel Waldeck,https://scholar.google.co.uk/citations?hl=en&user=nlJU0lgAAAAJ,"psychology, ostracism, resilience, acceptance and commitment therapy, construct validity testing","School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/daniel-waldeck,Education/Academic qualification: None
394,Malgorzata Sumislawska,https://scholar.google.co.uk/citations?hl=en&user=BuQV__oAAAAJ,"fault detection and diagnosis, system identification",,,,
395,Ranggi Sahmura Ramadhan,https://scholar.google.co.uk/citations?hl=en&user=AWHgq7kAAAAJ,"Aerospace, Residual stress, neutron diffraction, neutron imaging",,,,
396,Mohamed Abdelshafy,https://scholar.google.co.uk/citations?hl=en&user=8XoyCGIAAAAJ,"Network Security, Wireless Networks, IoT","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy,None: None
397,Craig Blyth,https://scholar.google.co.uk/citations?hl=en&user=qC1UR9sAAAAJ,"Disability Studies, Disability and Sexuality, Disability and the Body, Participatory Research Methods.",,,,
398,Adriana Matei,https://scholar.google.co.uk/citations?hl=en&user=Lx0x8EgAAAAJ,"Semantic Web, OLAP, Ontology, Big Data, Internet of Things",,,,
399,Craig Lashford,https://scholar.google.co.uk/citations?hl=en&user=xlZEfswAAAAJ,,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/craig-lashford,Education/Academic qualification: None
400,Mauro Sebastián Innocente,https://scholar.google.co.uk/citations?hl=en&user=MliO638AAAAJ,"Mathematical Modelling, Swarm & Evolutionary Computation, AI & Swarm Robotics",,,,
401,Faye Mitchell,https://scholar.google.co.uk/citations?hl=en&user=lV0PdpoAAAAJ,"AI, ML, Cyber Security, IT Management","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/faye-mitchell,Education/Academic qualification: None
402,Georgina Wernham,https://scholar.google.co.uk/citations?hl=en&user=1KVLQSsAAAAJ,"Energy literacy, water literacy, environmental education, environmental behaviours",,,,
403,Ivan Zajic,https://scholar.google.co.uk/citations?hl=en&user=6dB6PREAAAAJ,HVAC,,,,
404,Vahid Kouh Daragh,https://scholar.google.co.uk/citations?hl=en&user=pV92Pv0AAAAJ,"Smart City, Heterogeneous Network, Deep Learning, UAVs Based Communication Network, V2X and M2M communications",,,,
405,Golnaz Taghavi Pourian Azar,https://scholar.google.co.uk/citations?hl=en&user=uLUORPcAAAAJ,,,,https://pureportal.coventry.ac.uk/en/persons/golnaz-taghavi-pourian-azar-2,"Biography: Dr. Golnaz Taghavi is a Research Fellow in Functional Materials Research Group at Coventry University. She is currently working on a EU Horizon 2020 project (Maturolife) that brings together two different disciplines, material science and design, to produce high added-value assistive technology products. Before coming to CU, Golnaz studied PhD in Materials Science at Istanbul Technical University, working on the deposition of nitride coatings using Physical Vapor Deposition technique. Golnaz obtained her BSc and MSc both in Materials Engineering in 2007 and 2011, respectively. She has published several peer-reviewed journal papers and presented at some of the most prestigious international conferences, in one of which she was awarded two prizes."
